title,placeUrl,website,rating,reviewCount,address,phoneNumber,email,company,city,personal_opener,subject_1,subject_2,subject_3,email_1,followup_1,followup_2,segment
Ubytovanie v súkromí Privat Rooms Vilo,https://www.google.com/maps/place/Ubytovanie+v+s%C3%BAkrom%C3%AD+Privat+Rooms+Vilo/data=!4m10!3m9!1s0x476c8be300fff50b:0xfa6846361d82eb5d!5m2!4m1!1i2!8m2!3d48.1514429!4d17.0936713!16s%2Fg%2F1tfr8_6c!19sChIJC_X_AOOLbEcRXeuCHTZGaPo,http://www.penzionvilo.sk/,3.9,138.0,"Holubyho 1307/34, 811 03 Bratislava, Slovakia",+421 2/544 167 77,support@smartweb.sk,Ubytovanie v súkromí Privat Rooms Vilo,Bratislava,"Všimol som si Ubytovanie v súkromí Privat Rooms Vilo v Bratislava – máte hodnotenie 3.9 (138 recenzií), pekný signál, že máte dobrý servis.",Ubytovanie v súkromí Privat Rooms Vilo: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Ubytovanie v súkromí Privat Rooms Vilo,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Ubytovanie v súkromí Privat Rooms Vilo v Bratislava – máte hodnotenie 3.9 (138 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Ubytovanie v súkromí Privat Rooms Vilo. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Ubytovanie v súkromí Privat Rooms Vilo

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Ubytovanie v súkromí Privat Rooms Vilo.

— Adam","Subject: Ubytovanie v súkromí Privat Rooms Vilo: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Ubytovanie v súkromí Privat Rooms Vilo (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
More Than Accommodation,https://www.google.com/maps/place/More+Than+Accommodation/data=!4m10!3m9!1s0x476c899dfc72f253:0x453bd3818d343ba2!5m2!4m1!1i2!8m2!3d48.1215187!4d17.1007411!16s%2Fg%2F11fkyxwbvx!19sChIJU_Jy_J2JbEcRojs0jYHTO0U,https://www.morethan.sk/,4.7,146.0,"Panónska cesta 8, 851 04 Petržalka, Slovakia",+421 940 625 100,recepcia@morethan.sk,More Than Accommodation,Petržalka,"Všimol som si More Than Accommodation v Petržalka – máte hodnotenie 4.7 (146 recenzií), pekný signál, že máte dobrý servis.",More Than Accommodation: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v More Than Accommodation,Petržalka: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si More Than Accommodation v Petržalka – máte hodnotenie 4.7 (146 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre More Than Accommodation. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: More Than Accommodation

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre More Than Accommodation.

— Adam","Subject: More Than Accommodation: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre More Than Accommodation (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Petit Dependance,https://www.google.com/maps/place/Petit+Dependance/data=!4m10!3m9!1s0x476c895b0af9a8cd:0x4134322a806e616e!5m2!4m1!1i2!8m2!3d48.1480513!4d17.1064801!16s%2Fg%2F11fx34_3w2!19sChIJzaj5CluJbEcRbmFugCoyNEE,https://myhotel.sk/sk/rezervacia,3.8,152.0,"Panenská 36, 811 03 Bratislava, Slovakia",+421 902 072 942,info@senger.sk,Petit Dependance,Bratislava,"Všimol som si Petit Dependance v Bratislava – máte hodnotenie 3.8 (152 recenzií), pekný signál, že máte dobrý servis.",Petit Dependance: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Petit Dependance,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Petit Dependance v Bratislava – máte hodnotenie 3.8 (152 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Petit Dependance. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Petit Dependance

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Petit Dependance.

— Adam","Subject: Petit Dependance: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Petit Dependance (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Hostel ZERO,https://www.google.com/maps/place/Hostel+ZERO/data=!4m10!3m9!1s0x476c895cc7f8519d:0xc6f50b009bb72c30!5m2!4m1!1i2!8m2!3d48.1450761!4d17.1073988!16s%2Fg%2F11g232hxts!19sChIJnVH4x1yJbEcRMCy3mwAL9cY,https://www.megaubytovanie.sk/apart-hostel-zero,4.4,173.0,"Zámočnícka 6, 811 03 Bratislava, Slovakia",+421 910 446 666,cookie@2.4.0,Hostel ZERO,Bratislava,"Všimol som si Hostel ZERO v Bratislava – máte hodnotenie 4.4 (173 recenzií), pekný signál, že máte dobrý servis.",Hostel ZERO: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Hostel ZERO,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Hostel ZERO v Bratislava – máte hodnotenie 4.4 (173 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Hostel ZERO. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Hostel ZERO

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Hostel ZERO.

— Adam","Subject: Hostel ZERO: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Hostel ZERO (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Schöndorf Hostel,https://www.google.com/maps/place/Sch%C3%B6ndorf+Hostel/data=!4m10!3m9!1s0x476c8973399c4165:0xc357fe1698de2179!5m2!4m1!1i2!8m2!3d48.1478903!4d17.111368!16s%2Fg%2F11fl9lq44b!19sChIJZUGcOXOJbEcReSHemBb-V8M,http://www.schoendorfhostel.com/,4.4,192.0,"Obchodná 48, 811 06 Bratislava, Slovakia",+421 948 437 397,info@schoendorfhostel.comphone,Schöndorf Hostel,Bratislava,"Všimol som si Schöndorf Hostel v Bratislava – máte hodnotenie 4.4 (192 recenzií), pekný signál, že máte dobrý servis.",Schöndorf Hostel: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Schöndorf Hostel,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Schöndorf Hostel v Bratislava – máte hodnotenie 4.4 (192 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Schöndorf Hostel. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Schöndorf Hostel

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Schöndorf Hostel.

— Adam","Subject: Schöndorf Hostel: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Schöndorf Hostel (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Wilson Palace Bratislava,https://www.google.com/maps/place/Wilson+Palace+Bratislava/data=!4m10!3m9!1s0x476c8950a3d1840b:0xdfb1339c4bc4cd1a!5m2!4m1!1i2!8m2!3d48.1518626!4d17.1068678!16s%2Fg%2F11cjkwbqdw!19sChIJC4TRo1CJbEcRGs3ES5wzsd8,http://www.loftpremiumhotel.sk/,4.8,192.0,"Spojná, 811 05 Bratislava, Slovakia",+421 2/575 110 00,,Wilson Palace Bratislava,Bratislava,"Všimol som si Wilson Palace Bratislava v Bratislava – máte hodnotenie 4.8 (192 recenzií), pekný signál, že máte dobrý servis.",Wilson Palace Bratislava: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Wilson Palace Bratislava,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Wilson Palace Bratislava v Bratislava – máte hodnotenie 4.8 (192 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Wilson Palace Bratislava. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Wilson Palace Bratislava

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Wilson Palace Bratislava.

— Adam","Subject: Wilson Palace Bratislava: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Wilson Palace Bratislava (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Hostel Bratislava,https://www.google.com/maps/place/Hostel+Bratislava/data=!4m10!3m9!1s0x476c8f2e0971914d:0x845c1bac43d1b678!5m2!4m1!1i2!8m2!3d48.1569025!4d17.1729841!16s%2Fg%2F11f5ly9054!19sChIJTZFxCS6PbEcReLbRQ6wbXIQ,http://www.hostelslovakia.sk/,4.5,195.0,"Exnárova 3128/18, 821 03 Bratislava, Slovakia",+421 915 981 407,kontakt@example.com,Hostel Bratislava,Bratislava,"Všimol som si Hostel Bratislava v Bratislava – máte hodnotenie 4.5 (195 recenzií), pekný signál, že máte dobrý servis.",Hostel Bratislava: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Hostel Bratislava,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Hostel Bratislava v Bratislava – máte hodnotenie 4.5 (195 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Hostel Bratislava. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Hostel Bratislava

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Hostel Bratislava.

— Adam","Subject: Hostel Bratislava: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Hostel Bratislava (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
BEIGLI Hotel & Garden,https://www.google.com/maps/place/BEIGLI+Hotel+%26+Garden/data=!4m10!3m9!1s0x476c895cebd55f65:0xbb6ed2b683219984!5m2!4m1!1i2!8m2!3d48.1449722!4d17.1062218!16s%2Fg%2F11r8x3wxjh!19sChIJZV_V61yJbEcRhJkhg7bSbrs,https://www.hotelbeigli.sk/,4.7,202.0,"Baštová 347/4, 811 03 Bratislava, Slovakia",+421 910 749 242,office@hotelbeigli.sk,BEIGLI Hotel & Garden,Bratislava,"Všimol som si BEIGLI Hotel & Garden v Bratislava – máte hodnotenie 4.7 (202 recenzií), pekný signál, že máte dobrý servis.",BEIGLI Hotel & Garden: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v BEIGLI Hotel & Garden,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si BEIGLI Hotel & Garden v Bratislava – máte hodnotenie 4.7 (202 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre BEIGLI Hotel & Garden. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: BEIGLI Hotel & Garden

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre BEIGLI Hotel & Garden.

— Adam","Subject: BEIGLI Hotel & Garden: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre BEIGLI Hotel & Garden (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Charming & Cozy - Ambiente Apartments - Check-in Point,https://www.google.com/maps/place/Charming+%26+Cozy+-+Ambiente+Apartments+-+Check-in+Point/data=!4m10!3m9!1s0x476c895b64c168f3:0x692af6e41d2f9c40!5m2!4m1!1i2!8m2!3d48.1468672!4d17.1068251!16s%2Fg%2F11bwy_g3ck!19sChIJ82jBZFuJbEcRQJwvHeT2Kmk,http://www.ambiente-apartments.com/,4.5,215.0,"Suché mýto 4, 811 03 Bratislava, Slovakia",+421 910 915 502,sales@ambiente-apartments.com,Charming & Cozy - Ambiente Apartments - Check-in Point,Bratislava,"Všimol som si Charming & Cozy - Ambiente Apartments - Check-in Point v Bratislava – máte hodnotenie 4.5 (215 recenzií), pekný signál, že máte dobrý servis.",Charming & Cozy - Ambiente Apartments - Check-in Point: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Charming & Cozy - Ambiente Apartments - Check-in Point,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Charming & Cozy - Ambiente Apartments - Check-in Point v Bratislava – máte hodnotenie 4.5 (215 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Charming & Cozy - Ambiente Apartments - Check-in Point. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Charming & Cozy - Ambiente Apartments - Check-in Point

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Charming & Cozy - Ambiente Apartments - Check-in Point.

— Adam","Subject: Charming & Cozy - Ambiente Apartments - Check-in Point: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Charming & Cozy - Ambiente Apartments - Check-in Point (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Garni Hotel DOCK,https://www.google.com/maps/place/Garni+Hotel+DOCK/data=!4m10!3m9!1s0x476c894a20413449:0xe9327a78745f229d!5m2!4m1!1i2!8m2!3d48.1477466!4d17.1256162!16s%2Fg%2F11kdbxcvz6!19sChIJSTRBIEqJbEcRnSJfdHh6Muk,http://www.hoteldock.sk/,4.6,224.0,"Páričkova 1, 821 08 Bratislava, Slovakia",+421 2/206 204 20,recepcia@hoteldock.sk,Garni Hotel DOCK,Bratislava,"Všimol som si Garni Hotel DOCK v Bratislava – máte hodnotenie 4.6 (224 recenzií), pekný signál, že máte dobrý servis.",Garni Hotel DOCK: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Garni Hotel DOCK,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Garni Hotel DOCK v Bratislava – máte hodnotenie 4.6 (224 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Garni Hotel DOCK. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Garni Hotel DOCK

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Garni Hotel DOCK.

— Adam","Subject: Garni Hotel DOCK: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Garni Hotel DOCK (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
7Days B&B,https://www.google.com/maps/place/7Days+B%26B/data=!4m10!3m9!1s0x476c895ba14232f7:0xab1909843dfa9177!5m2!4m1!1i2!8m2!3d48.1480462!4d17.1063354!16s%2Fg%2F11h0t__pg6!19sChIJ9zJCoVuJbEcRd5H6PYQJGas,http://www.myhotel.sk/,4.4,225.0,"Panenská 34, 811 03 Bratislava, Slovakia",+421 902 072 942,info@senger.sk,7Days B&B,Bratislava,"Všimol som si 7Days B&B v Bratislava – máte hodnotenie 4.4 (225 recenzií), pekný signál, že máte dobrý servis.",7Days B&B: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v 7Days B&B,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si 7Days B&B v Bratislava – máte hodnotenie 4.4 (225 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre 7Days B&B. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: 7Days B&B

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre 7Days B&B.

— Adam","Subject: 7Days B&B: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre 7Days B&B (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
BAROK Hotel a Apartmany,https://www.google.com/maps/place/BAROK+Hotel+a+Apartmany/data=!4m10!3m9!1s0x476c884aa54aadbb:0xbffc631c2c0a9e57!5m2!4m1!1i2!8m2!3d48.098471!4d17.123964!16s%2Fg%2F11bwm4p46f!19sChIJu61KpUqIbEcRV54KLBxj_L8,http://www.barok.sk/,4.6,228.0,"Sitnianska 1, 851 07 Bratislava-Petržalka, Slovakia",+421 950 500 555,bootstrap@5.0.0-beta1,BAROK Hotel a Apartmany,Bratislava,"Všimol som si BAROK Hotel a Apartmany v Bratislava – máte hodnotenie 4.6 (228 recenzií), pekný signál, že máte dobrý servis.",BAROK Hotel a Apartmany: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v BAROK Hotel a Apartmany,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si BAROK Hotel a Apartmany v Bratislava – máte hodnotenie 4.6 (228 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre BAROK Hotel a Apartmany. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: BAROK Hotel a Apartmany

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre BAROK Hotel a Apartmany.

— Adam","Subject: BAROK Hotel a Apartmany: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre BAROK Hotel a Apartmany (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
