title,placeUrl,website,rating,reviewCount,address,phoneNumber,oslovenie,poznamka,email,owner_info,custom_insight,company,city,personal_opener,subject_1,subject_2,subject_3,email_1,followup_1,followup_2,segment
Dentix s.r.o.,https://www.google.com/maps/place/Dentix+s.r.o./data=!4m7!3m6!1s0x476c8be04ae7fd71:0xc95d6b00a147629!8m2!3d48.1459374!4d17.092664!16s%2Fg%2F1vg_62jb!19sChIJcf3nSuCLbEcRKXYUCrDWlQw,http://www.zubar.sk/,49,18,"Mudroňova 1737/36, 811 01 Staré Mesto, Slovensko",+421 910 576 676,,,mail@zubar.sk,MUDr. Patrik Gabura,,Dentix s.r.o.,Staré Mesto,"Narazil som na Dentix s.r.o. v Staré Mesto – hodnotenie 49.0 (18 recenzií) naznačuje, že pacienti sú spokojní.","Dentix s.r.o.: menej telefonátov, viac času na výkon",AI recepcia pre Dentix s.r.o. – rýchla otázka,Staré Mesto: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň Patrik,
Narazil som na Dentix s.r.o. v Staré Mesto – hodnotenie 49.0 (18 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Dentix s.r.o.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Dentix s.r.o.

Dobrý deň Patrik,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Dentix s.r.o. – mini ukážka bez záväzku

Dobrý deň Patrik,
viem spraviť 30‑sekundovú ukážku presne pre Dentix s.r.o.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Pressburg Dental House,https://www.google.com/maps/place/Pressburg+Dental+House/data=!4m7!3m6!1s0x476c8947f2bd8227:0xebdde7e2838ac9a0!8m2!3d48.1496683!4d17.1729505!16s%2Fg%2F11n016m7ht!19sChIJJ4K98keJbEcRoMmKg-Ln3es,http://www.pressburgdental.sk/,50,18,"Mierová 54, 821 05 Bratislava, Slovensko",+421 905 602 590,,,recepcia@pressburgdental.sk,MDDr. Maroš Henček,,Pressburg Dental House,Bratislava,"Narazil som na Pressburg Dental House v Bratislava – hodnotenie 50.0 (18 recenzií) naznačuje, že pacienti sú spokojní.","Pressburg Dental House: menej telefonátov, viac času na výkon",AI recepcia pre Pressburg Dental House – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň Maroš,
Narazil som na Pressburg Dental House v Bratislava – hodnotenie 50.0 (18 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Pressburg Dental House. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Pressburg Dental House

Dobrý deň Maroš,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Pressburg Dental House – mini ukážka bez záväzku

Dobrý deň Maroš,
viem spraviť 30‑sekundovú ukážku presne pre Pressburg Dental House: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
ADALLDENT,https://www.google.com/maps/place/ADALLDENT/data=!4m7!3m6!1s0x476c8f0d2a6cd9f9:0x5a47aa8ba935f65e!8m2!3d48.1972957!4d17.1376316!16s%2Fg%2F11sd7cy2l4!19sChIJ-dlsKg2PbEcRXvY1qYuqR1o,http://www.adalldent.sk/,49,19,"Pekná cesta 15, 831 52 Rača, Slovensko",+421 910 414 421,,,adalldent@gmail.com,,,ADALLDENT,Rača,"Narazil som na ADALLDENT v Rača – hodnotenie 49.0 (19 recenzií) naznačuje, že pacienti sú spokojní.","ADALLDENT: menej telefonátov, viac času na výkon",AI recepcia pre ADALLDENT – rýchla otázka,Rača: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na ADALLDENT v Rača – hodnotenie 49.0 (19 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za ADALLDENT. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: ADALLDENT

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: ADALLDENT – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre ADALLDENT: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Smile Doc Studio,https://www.google.com/maps/place/Smile+Doc+Studio/data=!4m7!3m6!1s0x476c8d2eaf51d0af:0x2affd9d32a59545!8m2!3d48.2331477!4d17.0316347!16s%2Fg%2F11wj9j6mxz!19sChIJr9BRry6NbEcRRZWlMp39rwI,http://smiledoc.sk/,50,20,"Kunovská 1, 821 06 Záhorská Bystrica, Slovensko",+421 915 634 144,,,smiledocstudio@gmail.com,,,Smile Doc Studio,Záhorská Bystrica,"Narazil som na Smile Doc Studio v Záhorská Bystrica – hodnotenie 50.0 (20 recenzií) naznačuje, že pacienti sú spokojní.","Smile Doc Studio: menej telefonátov, viac času na výkon",AI recepcia pre Smile Doc Studio – rýchla otázka,Záhorská Bystrica: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Smile Doc Studio v Záhorská Bystrica – hodnotenie 50.0 (20 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Smile Doc Studio. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Smile Doc Studio

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Smile Doc Studio – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Smile Doc Studio: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
"Sangre Azul, zubná klinika","https://www.google.com/maps/place/Sangre+Azul,+zubn%C3%A1+klinika/data=!4m7!3m6!1s0x476c89b6e94781a3:0xaaea0e7088a184cd!8m2!3d48.1411056!4d17.0913066!16s%2Fg%2F11b86g5xsp!19sChIJo4FH6baJbEcRzYShiHAO6qo",https://www.sangreazul.sk/,45,21,"Sangre azul, River park, Dvořákovo nábrežie 4, 811 02 Bratislava, Slovensko",+421 948 480 886,,,asist@korfs.sk,,,"Sangre Azul, zubná klinika",Bratislava,"Narazil som na Sangre Azul, zubná klinika v Bratislava – hodnotenie 45.0 (21 recenzií) naznačuje, že pacienti sú spokojní.","Sangre Azul, zubná klinika: menej telefonátov, viac času na výkon","AI recepcia pre Sangre Azul, zubná klinika – rýchla otázka",Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Sangre Azul, zubná klinika v Bratislava – hodnotenie 45.0 (21 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Sangre Azul, zubná klinika. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Sangre Azul, zubná klinika

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Sangre Azul, zubná klinika – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Sangre Azul, zubná klinika: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
White Dental Clinic,https://www.google.com/maps/place/White+Dental+Clinic/data=!4m7!3m6!1s0x476c8f4de545dd81:0xc2d8c7a53cec9a15!8m2!3d48.2153819!4d17.1601052!16s%2Fg%2F11h4nbmhzq!19sChIJgd1F5U2PbEcRFZrsPKXH2MI,https://whitedentalclinic.eu/,46,21,"Tbiliská 6, 811 06 Bratislava, Slovensko",+421 2/448 885 61,,,,,,White Dental Clinic,Bratislava,"Narazil som na White Dental Clinic v Bratislava – hodnotenie 46.0 (21 recenzií) naznačuje, že pacienti sú spokojní.","White Dental Clinic: menej telefonátov, viac času na výkon",AI recepcia pre White Dental Clinic – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na White Dental Clinic v Bratislava – hodnotenie 46.0 (21 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za White Dental Clinic. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: White Dental Clinic

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: White Dental Clinic – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre White Dental Clinic: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Šichman Drahomír MUDr.,https://www.google.com/maps/place/%C5%A0ichman+Drahom%C3%ADr+MUDr./data=!4m7!3m6!1s0x476c8c95cd22e407:0xd03c32d04008d63a!8m2!3d48.1857311!4d17.0387355!16s%2Fg%2F12mkvphmx!19sChIJB-QizZWMbEcROtYIQNAyPNA,http://stomatolog.webnode.sk/,46,21,"Saratovská 2, 841 02 Dúbravka, Slovensko",+421 2/644 619 58,,,drsichman@gmail.com,,,Šichman Drahomír MUDr.,Dúbravka,"Narazil som na Šichman Drahomír MUDr. v Dúbravka – hodnotenie 46.0 (21 recenzií) naznačuje, že pacienti sú spokojní.","Šichman Drahomír MUDr.: menej telefonátov, viac času na výkon",AI recepcia pre Šichman Drahomír MUDr. – rýchla otázka,Dúbravka: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Šichman Drahomír MUDr. v Dúbravka – hodnotenie 46.0 (21 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Šichman Drahomír MUDr.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Šichman Drahomír MUDr.

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Šichman Drahomír MUDr. – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Šichman Drahomír MUDr.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Smile Up,https://www.google.com/maps/place/Smile+Up/data=!4m7!3m6!1s0x476c898fdf216719:0x7db14b677a7acc77!8m2!3d48.1538911!4d17.1429416!16s%2Fg%2F11p_8y5n5n!19sChIJGWch34-JbEcRd8x6emdLsX0,http://www.smileup.sk/,50,21,"Priemyselná 6, 821 09 Ružinov, Slovensko",+421 905 248 604,,,sainfo@smileup.sk,,,Smile Up,Ružinov,"Narazil som na Smile Up v Ružinov – hodnotenie 50.0 (21 recenzií) naznačuje, že pacienti sú spokojní.","Smile Up: menej telefonátov, viac času na výkon",AI recepcia pre Smile Up – rýchla otázka,Ružinov: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Smile Up v Ružinov – hodnotenie 50.0 (21 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Smile Up. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Smile Up

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Smile Up – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Smile Up: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Dental House,https://www.google.com/maps/place/Dental+House/data=!4m7!3m6!1s0x476c8c0711f46201:0xf11b5b26a15f5c1!8m2!3d48.164785!4d17.096735!16s%2Fg%2F11fqptgwjv!19sChIJAWL0EQeMbEcRwfUVarK1EQ8,https://www.dentalhouse.sk/,43,22,"Stromová, 831 01 Bratislava, Slovensko",+421 904 708 772,,,,,,Dental House,Bratislava,"Narazil som na Dental House v Bratislava – hodnotenie 43.0 (22 recenzií) naznačuje, že pacienti sú spokojní.","Dental House: menej telefonátov, viac času na výkon",AI recepcia pre Dental House – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Dental House v Bratislava – hodnotenie 43.0 (22 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Dental House. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Dental House

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Dental House – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Dental House: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Rideta Dental Clinic s.r.o.,https://www.google.com/maps/place/Rideta+Dental+Clinic+s.r.o./data=!4m7!3m6!1s0x476c894ddfaa7acd:0xce91b5ef3903d56e!8m2!3d48.1846306!4d17.1392094!16s%2Fg%2F1vn_xryy!19sChIJzXqq302JbEcRbtUDOe-1kc4,http://www.rideta.sk/,48,22,"Nobelova 34, 831 02 Nové Mesto, Slovensko",+421 905 608 883,,,,,,Rideta Dental Clinic s.r.o.,Nové Mesto,"Narazil som na Rideta Dental Clinic s.r.o. v Nové Mesto – hodnotenie 48.0 (22 recenzií) naznačuje, že pacienti sú spokojní.","Rideta Dental Clinic s.r.o.: menej telefonátov, viac času na výkon",AI recepcia pre Rideta Dental Clinic s.r.o. – rýchla otázka,Nové Mesto: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Rideta Dental Clinic s.r.o. v Nové Mesto – hodnotenie 48.0 (22 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Rideta Dental Clinic s.r.o.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Rideta Dental Clinic s.r.o.

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Rideta Dental Clinic s.r.o. – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Rideta Dental Clinic s.r.o.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Jurki - Dent S.r.o.,https://www.google.com/maps/place/Jurki+-+Dent+S.r.o./data=!4m7!3m6!1s0x476c893a6e88b555:0x405ae8e59dd18b99!8m2!3d48.1466749!4d17.1335222!16s%2Fg%2F1tfmb0p3!19sChIJVbWIbjqJbEcRmYvRneXoWkA,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-ii/ambulancia-zubneho-lekarstva-bratislava-ruzinov-jurki-dent.html?page_id=61485,50,22,"Tekovská 1298/1, 821 09 Bratislava, Slovensko",+421 2/554 210 62,,,bbsk@e-vuc.sk,MUDr. Sovík Vladimír,,Jurki - Dent S.r.o.,Bratislava,"Narazil som na Jurki - Dent S.r.o. v Bratislava – hodnotenie 50.0 (22 recenzií) naznačuje, že pacienti sú spokojní.","Jurki - Dent S.r.o.: menej telefonátov, viac času na výkon",AI recepcia pre Jurki - Dent S.r.o. – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň Sovík,
Narazil som na Jurki - Dent S.r.o. v Bratislava – hodnotenie 50.0 (22 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Jurki - Dent S.r.o.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Jurki - Dent S.r.o.

Dobrý deň Sovík,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Jurki - Dent S.r.o. – mini ukážka bez záväzku

Dobrý deň Sovík,
viem spraviť 30‑sekundovú ukážku presne pre Jurki - Dent S.r.o.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Laser Dent s.r.o.,https://www.google.com/maps/place/Laser+Dent+s.r.o./data=!4m7!3m6!1s0x476c8951040f5a1f:0xcf6826fa9d89f36c!8m2!3d48.1536343!4d17.1129724!16s%2Fg%2F1tf1mmcb!19sChIJH1oPBFGJbEcRbPOJnfomaM8,http://www.laserdent.sk/,50,22,"Námestie slobody 7440, 811 06 Bratislava, Slovensko",+421 2/445 189 99,,,objednavky@laserdent.sk,,,Laser Dent s.r.o.,Bratislava,"Narazil som na Laser Dent s.r.o. v Bratislava – hodnotenie 50.0 (22 recenzií) naznačuje, že pacienti sú spokojní.","Laser Dent s.r.o.: menej telefonátov, viac času na výkon",AI recepcia pre Laser Dent s.r.o. – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Laser Dent s.r.o. v Bratislava – hodnotenie 50.0 (22 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Laser Dent s.r.o.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Laser Dent s.r.o.

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Laser Dent s.r.o. – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Laser Dent s.r.o.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Smile Design Clinic,https://www.google.com/maps/place/Smile+Design+Clinic/data=!4m7!3m6!1s0x476c8dc41d238ed5:0x6d23d9cfaa0f1169!8m2!3d48.1686031!4d17.0812019!16s%2Fg%2F11h_cj1pz2!19sChIJ1Y4jHcSNbEcRaREPqs_ZI20,https://smiledesignclinic.sk/,47,23,"Ďumbierska 2641/3G, 831 01 Bratislava, Slovensko",+421 948 022 659,,,659info@smiledesignclinic.sk,,,Smile Design Clinic,Bratislava,"Narazil som na Smile Design Clinic v Bratislava – hodnotenie 47.0 (23 recenzií) naznačuje, že pacienti sú spokojní.","Smile Design Clinic: menej telefonátov, viac času na výkon",AI recepcia pre Smile Design Clinic – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Smile Design Clinic v Bratislava – hodnotenie 47.0 (23 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Smile Design Clinic. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Smile Design Clinic

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Smile Design Clinic – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Smile Design Clinic: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
