company_name,city,segment,address,rating,review_count,types,mode,priority,pain_hypothesis,notes,place_id,website,phone,google_maps_url,opening_hours,review_snippet_1,review_snippet_2,web_phone,web_email,contact_page_url,faq_url,reklamacie_url,chat_signal,platform_guess,has_cart,has_contact_page,has_faq,has_reklamacie,support_channel_count
AUTOBIZNIS.sk,Trenčín,autodiely,"Kukučínova 467/3, 911 01 Trenčín, Slovakia",4.7,93,store|point_of_interest|establishment,mixed,A,E-shop-like positioning suggests repeated support around orders and product selection.,High-interest enrichment target.,ChIJ23hF0YOhFEcRqFskX4KmEL8,http://www.autobiznis.sk/,,,,Ok,👍👍,0205122433 | 00542606600 | +421907787785,info@autobiznis.sk | predajna@autobiznis.sk | info@soi.sk,https://autobiz.flox.sk/info,,,no,,yes,yes,no,no,3
AUTODIELYBB,Banská Bystrica,autodiely,"Kremnička 79, 974 05 Banská Bystrica, Slovakia",4.5,20,auto_parts_store|market|supplier|car_repair|manufacturer|store|point_of_interest|service|establishment,phone-heavy,A,Likely small team and high dependence on direct support.,Good small local candidate.,ChIJscdWTtQ9FUcR_-tKURF2k98,http://www.autodielybb.sk/,,,,"Great! Great satisfaction from my side! Experienced and great staff! I really like working with this company! For years! I recommend it! I wish you many satisfied customers! I wish all the best, the best, the best to the",A great team! They resolve all issues quickly and efficiently! I highly recommend them!,020453006 | +421 905 601 102 | +421 917 222 322,info@autodielybb.sk | tatiana.hunkova@autodielybb.sk | igor.sutak@autodielybb.sk,https://www.autodielybb.sk/kontakty/,,https://www.autodielybb.sk/reklamacny-poriadok/,yes,woocommerce,no,yes,no,yes,4
AUTO FRESH s.r.o.,Banská Bystrica,autodiely-pneu,"13, Zvolenská cesta 3741, 974 05 Banská Bystrica, Slovakia",4.6,96,auto_parts_store|tire_shop|building_materials_store|car_repair|store|point_of_interest|service|establishment,mixed,A,Hybrid parts+pneu model likely sees strong phone and seasonal support load.,Very practical use case.,ChIJ4S2wKNk9FUcRWMzg9rnH6yY,http://www.autofresh.sk/,,,,Super,"A disastrous company, a pure fraud. I am writing for a car service. I bought a new NISSENS turbo, the turbo was defective from the factory, not a single kilometer was driven on the turbo, because oil was leaking on the j",0205093426,bbystrica@autofresh.sk,http://www.autofresh.sk/sk/clanok/Kontakty-sk,,,no,,no,yes,no,no,3
Petro et al. car parts,Prešov,autodiely,"36, Pavlovičovo námestie 7442, 080 01 Prešov, Slovakia",4.6,138,auto_parts_store|car_repair|store|service|point_of_interest|establishment,phone-heavy,A,Likely repeated fitment and availability questions.,Strong regional candidate.,ChIJz6oaD3ntPkcRuN2xEW9Gq60,https://autodielypetro.sk/,,,,Very helpful staff,Ok,0205093426 | 020737674,,,,,no,,yes,no,no,no,1
AutoSave, Ltd.,Prešov,autodiely,"Budovateľská 75/a, 080 01 Prešov, Slovakia",4.5,63,auto_parts_store|car_repair|store|service|point_of_interest|establishment,phone-heavy,B,Likely manual handling of pre-purchase and order support.,ChIJBRdcu2rCbEcRyKWCujr92uc,,,,,"If all services in Slovakia were as good as this, I would be a happy man.",Super,,,,,,,,,,,,
Autosúčiastky Tomáš,Prešov,autodiely,"Októbrová 4730, 080 01 Prešov, Slovakia",4.8,49,auto_parts_store|car_repair|store|service|point_of_interest|establishment,phone-heavy,A,Small local team likely loses time to repetitive support calls.,Very good candidate.,ChIJh1e1QYTyPkcR4CkgL7nWCRw,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/,,,,Super 👍,Top,05165880458 | 090831962 | 0517712500,avatar-small@3.png | stefan.tluscak@gmail.com,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/#kontakty,https://pomoc.azet.sk/,https://reklama.ringier.sk,no,,no,yes,yes,yes,3
AZ-pneu.sk,Bratislava,pneu,"Polianky 17, 841 01 Bratislava-Dúbravka, Slovakia",4.4,581,tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,A,"Strong seasonal phone load around sizes, availability, fitting, and appointment questions.",Best pneu test candidate.,ChIJe0IUJH2MbEcRFNKdBKj6m3g,http://www.az-pneu.sk/,,,,I went there today to get some winter tires installed on my car. They provided an excellent service and they also speak english which is a big plus. I will go there again and really recommend them.,"I need to go to spain by car - 3000km - , i go there and ask for a general check, a new battery and i show to the staff something that is broken that i want it fixed. 100€ for a new 45ah battery - small benzine car - and",+421268206080 | 022871598,objednavky@az-pneu.sk | velkoobchod@az-pneu.sk | info@az-pneu.sk,https://www.az-pneu.sk/kontakt,https://www.az-pneu.sk/caste-otazky,,no,woocommerce,yes,yes,yes,no,3
Pneufol,Bratislava,pneuservis,"Polianky 3091/15, 841 02 Bratislava, Slovakia",4.8,81,car_repair|service|point_of_interest|establishment,phone-heavy,A,Likely heavy call volume in seasonal peaks and urgent service questions.,Good smaller pneu operator.,ChIJl6uTeOiMbEcRdGpes0KEb9Q,https://www.facebook.com/PneufolSro/,,,,Ok,Super,,,,,,,,,,,,
PNEUSYSTEM TT s.r.o.,Trnava,pneu,"917 01, Bratislavská 5234/45, 917 02 Trnava, Slovakia",4.8,100,tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,A,"Phone-heavy support likely tied to tire choice, timing, and stock.",Strong regional pneu candidate.,ChIJq-UyjY2gbEcRIZiQHnoaRRk,http://www.pneutt.sk/,,,,Super,Super,0335511692 | 0915761862 | 0915 761 862,posta@pneutt.sk,https://www.pneutt.sk/#!/kontakt,,,no,woocommerce,no,yes,no,no,3
EUROpneuCENTRUM,Trenčín,pneuservis,"Legionárska 1848/85, Biskupice, 911 01 Trenčín, Slovakia",4.7,59,car_repair|service|point_of_interest|establishment,phone-heavy,B,Likely local seasonal support burden.,Useful wave-2 pneu candidate.,ChIJMR52XXqhFEcRHjS8ve8LWgE,http://www.europneucentrum.sk/,,,,Super fast and cheap service! Highly recommended.,Cheap professional tire service just you have to wait out in the open or in the shop if the weather is bad.,0326580553 | 032/6580553 | 0918676822,europneucentrum@gmail.com,https://www.europneucentrum.sk/kontakt/,,,no,,no,yes,no,no,3
ARS - PNEUSERVIS, AUTOSERVIS, Banská Bystrica,pneuservis,"Medený Hámor 4, 974 01 Banská Bystrica, Slovakia",4.6,328,tire_shop|chauffeur_service|auto_parts_store|transportation_service|car_repair|store|service|point_of_interest|establishment,phone-heavy,B,Likely very high service coordination and appointment-related call load.,ChIJRe9J3SKPbEcRvkw3A0THwy0,http://www.arspneu.sk/,,,,Very fast and convenient pneu servis. Stuff will also help you with usual service of the car,"Fast service, great staff. Always helpful",+421220375100 | +421 220 375 100 | 020456482,akh_hu_piktogramokRajztabla-5@4x.png | akh_hu_piktogramokRajztabla-6@4x.png | info@arspneu.sk,https://arspneu.sk/kontakt/,,,yes,woocommerce,yes,yes,no,no,4
Tire - Biada,Prešov,pneu,"Jána Bottu 5014/3, 080 01 Prešov, Slovakia",4.7,327,tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,B,High seasonal inbound likely around pneus and fitting.,Strong pneu backup candidate.,ChIJ9VsAhJvyPkcREpz-RR4a81U,https://www.popneu.sk/,,,,"Very helpful staff, smooth change of tires. We will be back again. There is even a coffee machine for those who decide to wait in the shop :o)",Fast service with nice crew,0907 080 889 | 00422903302 | 035062501,info@popneu.sk,https://www.popneu.sk/kontakty,,https://www.popneu.sk/odstupenie-od-zmluvy,no,,yes,yes,no,yes,3
